campaign,date,survey_time,area,environment,swab_id,family,scientific_name,time_of_capture,count,glycerol,tissue,marked,capture_latitude,capture_longitude,comments
07,2022-02-18T00:00:00Z,night,06,water,2104,brachycephalidae,brachycephalus pitanga,19:31:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08925,NA
07,2022-02-18T00:00:00Z,night,06,water,2105,brachycephalidae,brachycephalus pitanga,19:34:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08925,NA
07,2022-02-18T00:00:00Z,night,06,water,2106,brachycephalidae,brachycephalus pitanga,19:35:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08925,NA
07,2022-02-18T00:00:00Z,night,06,water,2107,brachycephalidae,brachycephalus pitanga,19:36:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08925,NA
07,2022-02-18T00:00:00Z,night,06,water,2112,brachycephalidae,ischnocnema henselii,20:07:00,1,FALSE,TRUE,TRUE,-23.32420,-45.08928,sem o pé esquerdo
09,2022-07-29T00:00:00Z,night,06,water,2855,hylidae,scinax flavoguttatus,18:29:00,1,FALSE,FALSE,FALSE,-23.32419,-45.08928,Macho voc
05,2019-01-20T00:00:00Z,night,06,water,1127,bufonidae,dendrophryniscus haddadi,18:22:00,1,FALSE,FALSE,FALSE,-23.32413,-45.08929,F/ovada
05,2019-01-20T00:00:00Z,night,06,water,1128,hylidae,scinax flavoguttatus,18:25:00,1,FALSE,FALSE,FALSE,-23.32413,-45.08929,NA
06,2021-11-28T00:00:00Z,night,06,water,1469,brachycephalidae,brachycephalus pitanga,18:44:00,1,FALSE,FALSE,FALSE,-23.32410,-45.08930,NA
06,2021-11-28T00:00:00Z,night,06,water,1470,brachycephalidae,brachycephalus pitanga,18:44:00,1,FALSE,FALSE,FALSE,-23.32410,-45.08930,NA
06,2021-11-28T00:00:00Z,night,06,water,1471,brachycephalidae,brachycephalus pitanga,18:48:00,1,FALSE,FALSE,FALSE,-23.32410,-45.08930,NA
09,2022-07-27T00:00:00Z,night,06,water,2785,hylidae,scinax flavoguttatus,18:34:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08930,Voc
09,2022-07-27T00:00:00Z,night,06,water,2786,hylidae,scinax flavoguttatus,18:36:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08930,Voc
09,2022-07-27T00:00:00Z,night,06,water,2787,hylidae,scinax flavoguttatus,18:38:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08930,Voc
09,2022-07-27T00:00:00Z,night,06,water,2788,hylidae,scinax flavoguttatus,18:40:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08930,Voc
05,2019-01-20T00:00:00Z,night,06,water,1126,bufonidae,dendrophryniscus haddadi,18:15:00,1,FALSE,FALSE,FALSE,-23.32418,-45.08930,NA
09,2022-07-28T00:00:00Z,night,06,water,2812,brachycephalidae,ischnocnema parva,18:40:00,1,FALSE,FALSE,FALSE,-23.32416,-45.08931,Fêmea ovada
04,2021-04-08T00:00:00Z,night,06,water, 693,hylidae,scinax flavoguttatus,18:52:00,1,FALSE,FALSE,FALSE,-23.32421,-45.08931,Macho voc
04,2021-04-08T00:00:00Z,night,06,water, 694,hylidae,scinax flavoguttatus,18:59:00,1,FALSE,FALSE,FALSE,-23.32421,-45.08931,Macho voc
06,2021-11-28T00:00:00Z,night,06,water,1480,hylidae,dendropsophus microps,19:45:00,1,FALSE,FALSE,FALSE,-23.32424,-45.08932,Fêmea
09,2022-07-28T00:00:00Z,night,06,water,2819,hylidae,scinax flavoguttatus,19:05:00,1,FALSE,FALSE,FALSE,-23.32419,-45.08932,Macho voc
09,2022-07-28T00:00:00Z,night,06,water,2820,hylidae,scinax flavoguttatus,19:07:00,1,FALSE,FALSE,FALSE,-23.32419,-45.08932,Macho voc
09,2022-07-28T00:00:00Z,night,06,water,2821,hylidae,scinax flavoguttatus,19:09:00,1,FALSE,FALSE,FALSE,-23.32419,-45.08932,Macho voc
09,2022-07-28T00:00:00Z,night,06,water,2822,hylidae,scinax flavoguttatus,19:11:00,1,FALSE,FALSE,FALSE,-23.32419,-45.08932,Macho voc
09,2022-07-28T00:00:00Z,night,06,water,2823,hylidae,scinax flavoguttatus,19:13:00,1,FALSE,FALSE,FALSE,-23.32419,-45.08932,Macho voc
08,2022-05-07T00:00:00Z,night,06,water,2373,hylidae,scinax flavoguttatus,17:53:00,1,FALSE,FALSE,FALSE,-23.32421,-45.08933,NA
05,2021-09-21T00:00:00Z,day,06,water,1166,brachycephalidae,ischnocnema parva,17:25:00,1,FALSE,FALSE,FALSE,-23.32421,-45.08933,F/ovada
05,2021-09-21T00:00:00Z,day,06,water,1167,bufonidae,dendrophryniscus haddadi,17:29:00,1,FALSE,FALSE,FALSE,-23.32421,-45.08933,NA
08,2022-05-07T00:00:00Z,night,06,water,2374,brachycephalidae,ischnocnema parva,17:59:00,1,FALSE,FALSE,FALSE,-23.32414,-45.08934,NA
08,2022-05-07T00:00:00Z,night,06,water,2375,brachycephalidae,ischnocnema parva,18:05:00,1,FALSE,FALSE,FALSE,-23.32414,-45.08934,Fêmea
08,2022-05-07T00:00:00Z,night,06,water,2376,brachycephalidae,brachycephalus pitanga,18:06:00,1,FALSE,FALSE,FALSE,-23.32414,-45.08934,NA
09,2022-07-28T00:00:00Z,night,06,water,2811,hylidae,bokermannohyla circumdata,18:30:00,1,FALSE,FALSE,FALSE,-23.32413,-45.08935,Macho
06,2021-11-28T00:00:00Z,night,06,water,1481,hylodidae,hylodes phyllodes,19:45:00,1,FALSE,FALSE,FALSE,-23.32414,-45.08936,F/ovada
06,2021-11-29T00:00:00Z,day,06,water,1517,brachycephalidae,brachycephalus pitanga,17:34:00,1,FALSE,FALSE,FALSE,-23.32413,-45.08936,NA
06,2021-11-28T00:00:00Z,night,06,water,1474,centrolenidae,vitreorana uranoscopa,19:00:00,1,FALSE,FALSE,FALSE,-23.32420,-45.08936,F/ovada
05,2019-01-20T00:00:00Z,day,06,water,1123,brachycephalidae,brachycephalus pitanga,16:55:00,1,FALSE,FALSE,FALSE,-23.32406,-45.08936,NA
08,2022-05-07T00:00:00Z,night,06,water,2377,brachycephalidae,brachycephalus pitanga,18:10:00,1,FALSE,FALSE,FALSE,-23.32423,-45.08937,NA
06,2021-11-28T00:00:00Z,night,06,water,1479,centrolenidae,vitreorana uranoscopa,19:45:00,1,FALSE,FALSE,FALSE,-23.32420,-45.08937,NA
06,2021-11-28T00:00:00Z,night,06,water,1473,bufonidae,dendrophryniscus haddadi,18:55:00,1,FALSE,FALSE,FALSE,-23.32430,-45.08937,NA
01,2020-09-12T00:00:00Z,night,06,water, 116,brachycephalidae,ischnocnema henselii,23:53:00,1,FALSE,FALSE,FALSE,-23.32418,-45.08938,NA
08,2022-05-06T00:00:00Z,day,06,water,2328,brachycephalidae,brachycephalus pitanga,16:30:00,1,FALSE,FALSE,FALSE,-23.32423,-45.08939,NA
08,2022-05-06T00:00:00Z,day,06,water,2329,brachycephalidae,brachycephalus pitanga,16:37:00,1,FALSE,FALSE,FALSE,-23.32423,-45.08939,NA
09,2022-07-29T00:00:00Z,night,06,water,2849,brachycephalidae,ischnocnema parva,18:22:00,1,FALSE,FALSE,FALSE,-23.32418,-45.08940,Fêmea ovada
06,2021-11-29T00:00:00Z,day,06,water,1518,brachycephalidae,brachycephalus pitanga,17:36:00,1,FALSE,FALSE,FALSE,-23.32412,-45.08941,NA
06,2021-11-29T00:00:00Z,day,06,water,1519,brachycephalidae,brachycephalus pitanga,17:36:00,1,FALSE,FALSE,FALSE,-23.32412,-45.08941,Macho voc
01,2020-08-12T00:00:00Z,night,06,water,  90,hylidae,scinax flavoguttatus,20:02:00,1,FALSE,FALSE,FALSE,-23.32417,-45.08941,NA
05,2021-09-21T00:00:00Z,day,06,water,1168,bufonidae,dendrophryniscus haddadi,17:35:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08942,NA
05,2021-09-19T00:00:00Z,day,06,water,1066,brachycephalidae,brachycephalus pitanga,17:09:00,1,FALSE,FALSE,FALSE,-23.32421,-45.08942,NA
06,2021-11-29T00:00:00Z,day,06,water,1520,brachycephalidae,brachycephalus pitanga,17:40:00,1,FALSE,FALSE,FALSE,-23.32418,-45.08942,NA
06,2021-11-29T00:00:00Z,day,06,water,1521,brachycephalidae,brachycephalus pitanga,17:42:00,1,FALSE,FALSE,FALSE,-23.32418,-45.08942,NA
09,2022-07-28T00:00:00Z,night,06,water,2813,brachycephalidae,ischnocnema parva,18:45:00,1,FALSE,FALSE,FALSE,-23.32420,-45.08943,NA
06,2021-11-28T00:00:00Z,night,06,water,1472,brachycephalidae,brachycephalus pitanga,18:51:00,1,FALSE,FALSE,FALSE,-23.32413,-45.08944,NA
01,2020-08-12T00:00:00Z,night,06,water,  92,craugastoridae,haddadus binotatus,21:13:00,1,FALSE,TRUE,TRUE,-23.32426,-45.08944,NA
04,2021-03-08T00:00:00Z,night,06,water, 655,bufonidae,dendrophryniscus haddadi,18:55:00,1,FALSE,FALSE,FALSE,-23.32420,-45.08945,NA
08,2022-05-08T00:00:00Z,night,06,water,2408,brachycephalidae,ischnocnema parva,17:51:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08945,NA
08,2022-05-08T00:00:00Z,night,06,water,2409,hylodidae,hylodes phyllodes,17:53:00,1,FALSE,TRUE,TRUE,-23.32422,-45.08945,NA
04,2021-02-08T00:00:00Z,night,06,water, 632,hylidae,scinax flavoguttatus,18:35:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08947,Macho voc
04,2021-02-08T00:00:00Z,night,06,water, 633,hylidae,scinax flavoguttatus,18:37:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08947,Macho voc
04,2021-02-08T00:00:00Z,night,06,water, 634,hylidae,scinax flavoguttatus,18:42:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08947,Macho voc
07,2022-02-18T00:00:00Z,night,06,water,2108,hylidae,scinax flavoguttatus,19:40:00,1,FALSE,FALSE,FALSE,-23.32420,-45.08948,Fêmea
06,2021-11-30T00:00:00Z,night,06,water,1565,brachycephalidae,ischnocnema parva,18:57:00,1,FALSE,FALSE,FALSE,-23.32415,-45.08948,NA
01,2020-09-12T00:00:00Z,night,06,water, 115,hylidae,aplastodiscus albosignatus,23:48:00,1,TRUE,TRUE,TRUE,-23.32421,-45.08949,NA
08,2022-05-07T00:00:00Z,day,06,water,2371,brachycephalidae,brachycephalus pitanga,16:54:00,1,FALSE,FALSE,FALSE,-23.32429,-45.08950,NA
09,2022-07-27T00:00:00Z,night,06,water,2789,hylidae,scinax flavoguttatus,18:43:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08951,Voc
09,2022-07-27T00:00:00Z,night,06,water,2790,hylidae,scinax flavoguttatus,18:45:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08951,Voc
09,2022-07-27T00:00:00Z,night,06,water,2791,hylidae,scinax flavoguttatus,18:46:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08951,Voc
09,2022-07-27T00:00:00Z,night,06,water,2792,hylidae,scinax flavoguttatus,18:48:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08951,Voc
09,2022-07-27T00:00:00Z,night,06,water,2793,hylidae,scinax flavoguttatus,18:50:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08951,Voc
09,2022-07-27T00:00:00Z,night,06,water,2794,hylidae,scinax flavoguttatus,18:51:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08951,Voc
06,2021-11-29T00:00:00Z,night,06,water,1523,craugastoridae,haddadus binotatus,18:50:00,1,FALSE,FALSE,FALSE,-23.32421,-45.08951,NA
08,2022-05-08T00:00:00Z,night,06,water,2410,brachycephalidae,ischnocnema parva,18:00:00,1,FALSE,FALSE,FALSE,-23.32424,-45.08952,NA
05,2021-09-21T00:00:00Z,day,06,water,1169,bufonidae,dendrophryniscus haddadi,17:42:00,1,FALSE,FALSE,FALSE,-23.32426,-45.08953,NA
08,2022-05-06T00:00:00Z,night,06,water,2332,hylidae,scinax flavoguttatus,18:44:00,1,FALSE,FALSE,FALSE,-23.32429,-45.08955,Macho voc
08,2022-05-07T00:00:00Z,night,06,water,2378,odontophrynidae,proceratophrys boiei,18:21:00,1,TRUE,TRUE,TRUE,-23.32418,-45.08955,NA
08,2022-05-07T00:00:00Z,night,06,water,2379,brachycephalidae,brachycephalus pitanga,18:24:00,1,FALSE,FALSE,FALSE,-23.32418,-45.08955,NA
06,2021-11-28T00:00:00Z,day,06,water,1467,hylodidae,hylodes phyllodes,17:36:00,1,FALSE,FALSE,FALSE,-23.32419,-45.08956,imago
05,2019-01-20T00:00:00Z,day,06,water,1125,odontophrynidae,proceratophrys boiei,17:48:00,1,FALSE,FALSE,FALSE,-23.32419,-45.08956,jovem
05,2021-09-19T00:00:00Z,night,06,water,1087,bufonidae,dendrophryniscus haddadi,19:08:00,1,FALSE,FALSE,FALSE,-23.32421,-45.08957,F/ovada
05,2021-09-19T00:00:00Z,night,06,water,1088,hylidae,bokermannohyla circumdata,19:11:00,1,FALSE,FALSE,FALSE,-23.32421,-45.08957,NA
