swab_id,sex,capture_mark_recapture
01,male,NA
02,male,NA
03,male,NA
04,female,NA
05,male,NA
06,male,NA
07,male,NA
.,male,NA
.,male,NA
08,male,NA
09,male,NA
10,male,NA
11,male,NA
12,male,NA
13,male,NA
14,male,NA
15,male,NA
16,male,NA
17,male,NA
18,male,NA
19,male,NA
20,male,NA
21,male,NA
22,male,NA
23,male,NA
24,male,NA
25,male,NA
26,male,NA
27,male,NA
28,male,NA
29,male,NA
30,male,NA
31,male,NA
32,male,NA
33,male,NA
34,male,NA
35,male,NA
36,male,NA
37,male,NA
38,male,NA
39,male,NA
40,male,NA
41,male,NA
42,male,NA
43,male,NA
44,male,NA
45,male,NA
46,male,NA
47,male,NA
48,male,NA
49,male,NA
50,male,NA
51,male,NA
52,male,NA
53,male,NA
54,male,NA
55,male,NA
56,male,NA
57,male,NA
58,male,NA
59,male,NA
60,male,NA
61,male,NA
62,male,NA
63,male,NA
.,male,NA
64,male,NA
65,male,NA
66,male,NA
67,male,NA
68,male,NA
69,male,NA
70,male,NA
71,male,NA
72,male,NA
73,male,NA
74,male,NA
75,male,NA
76,male,NA
.,male,NA
77,male,NA
78,male,NA
79,male,NA
80,male,NA
81,male,NA
82,male,NA
83,male,NA
84,male,NA
85,male,NA
.,male,NA
86,male,NA
87,male,NA
88,male,NA
90,male,NA
91,male,NA
92,male,NA
93,male,NA
94,male,NA
95,male,NA
96,male,NA
97,male,NA
98,male,NA
99,male,NA
100,male,NA
101,male,NA
102,male,NA
103,male,NA
104,male,NA
105,male,NA
106,male,NA
107,male,NA
.,male,NA
108,male,NA
109,male,NA
110,male,NA
111,male,NA
112,male,NA
113,male,NA
114,male,NA
115,male,NA
116,male,NA
117,male,NA
118,male,NA
119,male,NA
120,male,NA
121,male,NA
122,male,NA
123,male,NA
124,male,NA
125,male,NA
126,male,NA
127,male,NA
128,male,NA
129,male,NA
130,male,NA
.,male,NA
132,male,NA
133,male,NA
134,male,NA
135,male,NA
136,male,NA
137,male,NA
138,male,NA
139,male,NA
140,male,NA
141,male,NA
142,male,NA
143,male,NA
144,male,NA
145,male,NA
146,male,NA
147,male,NA
148,male,NA
149,male,NA
150,male,NA
151,male,NA
152,male,NA
153,male,NA
.,male,NA
.,male,NA
.,male,NA
154,male,NA
155,male,NA
156,male,NA
157,male,NA
158,male,NA
159,male,NA
160,male,NA
161,male,NA
162,male,NA
163,male,NA
164,male,NA
165,male,NA
166,male,NA
167,male,NA
168,male,NA
169,male,NA
170,male,NA
171,male,NA
172,male,NA
173,male,NA
174,male,NA
175,male,NA
176,male,NA
177,male,NA
178,male,NA
179,male,NA
180,male,NA
181,male,NA
182,male,NA
183,male,NA
184,male,NA
185,male,NA
186,male,NA
187,male,NA
188,male,NA
189,male,NA
190,male,NA
191,male,NA
192,male,NA
193,male,NA
194,male,NA
195,male,NA
196,male,NA
197,male,NA
198,male,NA
199,male,NA
200,male,NA
201,male,NA
202,male,NA
203,male,NA
204,male,NA
205,male,NA
206,male,NA
207,male,NA
208,male,NA
209,male,NA
210,male,NA
211,male,NA
212,male,NA
213,male,NA
214,male,NA
215,male,NA
216,male,NA
217,male,NA
218,male,NA
219,male,NA
220,male,NA
221,male,NA
222,male,NA
223,male,NA
224,male,NA
225,male,NA
226,male,NA
227,male,NA
228,male,NA
229,male,NA
230,male,NA
231,male,NA
232,male,NA
233,male,NA
234,male,NA
235,male,NA
236,male,NA
237,male,NA
238,male,NA
239,male,NA
240,male,NA
241,male,NA
242,male,NA
243,male,NA
244,male,NA
245,male,NA
246,male,NA
247,male,NA
248,male,NA
249,male,NA
250,male,NA
251,male,NA
252,male,NA
253,male,NA
254,male,NA
255,male,NA
256,male,NA
257,male,NA
258,male,NA
259,male,NA
260,male,NA
262,male,NA
263,male,NA
264,male,02
265,male,NA
266,male,NA
267,male,NA
268,male,NA
269,male,NA
270,male,NA
271,male,NA
272,male,NA
273,male,NA
274,male,NA
275,male,NA
276,male,NA
277,male,NA
278,male,NA
279,male,NA
280,male,NA
281,male,NA
282,female,NA
283,male,NA
284,male,NA
285,female,NA
286,female,NA
287,male,NA
288,male,NA
289,male,NA
290,male,NA
291,male,NA
292,male,NA
293,male,NA
294,male,NA
295,male,NA
296,male,NA
297,male,NA
298,male,NA
299,male,NA
300,male,NA
301,male,NA
302,male,NA
303,male,NA
304,male,NA
305,male,NA
306,male,NA
307,male,NA
309,female,NA
.,male,NA
.,male,NA
310,male,NA
311,male,NA
312,male,NA
313,male,NA
314,male,NA
315,male,NA
316,male,NA
317,male,NA
.,male,NA
318,male,NA
319,male,NA
320,male,NA
321,male,NA
322,male,NA
323,male,NA
324,male,NA
325,male,NA
326,male,NA
327,male,NA
328,male,NA
330,male,NA
331,male,NA
332,male,NA
.,male,NA
333,male,NA
334,male,NA
335,male,NA
336,male,NA
337,male,NA
338,male,NA
339,male,NA
340,male,NA
341,male,NA
342,male,NA
343,male,NA
344,male,NA
345,male,NA
346,male,NA
347,male,NA
348,male,NA
349,male,NA
350,male,NA
351,male,NA
352,male,NA
353,male,NA
354,male,NA
355,male,NA
356,male,NA
357,male,NA
358,male,NA
359,male,NA
360,male,NA
361,male,NA
362,male,NA
363,male,NA
364,male,NA
365,male,NA
366,male,NA
367,male,NA
368,male,NA
369,male,NA
370,male,NA
371,male,NA
372,male,NA
373,male,NA
374,male,NA
375,male,NA
376,male,NA
377,male,NA
378,male,NA
379,male,NA
380,male,NA
381,male,NA
382,male,NA
383,male,NA
384,male,NA
385,male,NA
386,male,NA
387,male,NA
388,male,NA
389,male,NA
390,male,NA
391,male,NA
392,male,NA
393,male,NA
394,male,NA
395,male,NA
396,male,NA
397,male,NA
398,male,NA
400,male,NA
401,male,NA
402,male,NA
403,male,NA
404,male,NA
405,male,NA
406,male,NA
407,male,NA
408,male,NA
409,male,NA
410,male,NA
411,male,NA
412,male,NA
413,male,NA
414,male,NA
415,male,NA
416,male,NA
417,male,NA
418,male,NA
419,male,NA
420,male,NA
421,male,NA
422,male,NA
423,male,NA
424,male,NA
425,male,NA
426,male,NA
427,male,NA
428,male,NA
429,male,NA
430,male,NA
431,male,NA
432,male,NA
433,male,NA
434,male,NA
435,male,NA
436,male,NA
437,male,NA
438,male,NA
.,male,NA
.,male,NA
439,male,NA
440,male,NA
441,male,NA
442,male,NA
443,male,NA
444,male,NA
445,male,NA
446,male,NA
447,male,NA
448,male,NA
449,male,NA
450,male,NA
451,male,NA
452,male,NA
453,male,NA
.,male,NA
454,male,NA
455,male,NA
456,male,NA
457,male,NA
458,male,NA
459,male,NA
460,male,NA
462,male,NA
463,male,NA
464,male,NA
465,male,NA
466,male,NA
467,male,NA
468,male,NA
.,male,NA
469,male,NA
470,female,NA
471,male,NA
472,male,NA
473,male,NA
474,male,NA
475,male,NA
476,male,NA
477,male,NA
478,male,NA
479,male,NA
480,male,NA
481,male,NA
482,male,NA
483,male,NA
484,male,NA
485,male,NA
486,male,NA
487,male,NA
.,male,NA
488,male,NA
489,female,NA
490,male,NA
491,male,NA
492,male,NA
493,male,NA
494,male,NA
495,male,NA
496,male,NA
497,male,NA
498,male,NA
499,male,NA
500,male,NA
501,male,NA
502,male,NA
503,male,NA
504,male,NA
.,male,NA
505,male,03
506,male,NA
507,male,NA
508,male,NA
509,male,NA
510,male,NA
511,male,NA
512,male,NA
513,male,NA
514,male,NA
515,male,NA
516,male,NA
517,male,NA
518,male,NA
519,male,NA
520,male,NA
521,male,NA
522,male,NA
523,male,NA
524,male,NA
525,male,NA
526,male,NA
527,male,NA
528,male,NA
529,male,NA
530,male,NA
531,male,NA
532,male,NA
533,male,NA
534,male,NA
535,male,NA
536,male,NA
537,male,NA
538,male,NA
539,male,NA
540,male,NA
541,male,NA
542,male,NA
543,male,NA
544,female,NA
545,male,NA
546,male,NA
547,female,NA
548,male,NA
549,male,NA
550,male,NA
551,male,NA
552,male,NA
553,male,NA
554,male,NA
555,male,NA
556,male,NA
557,male,NA
558,male,NA
559,male,NA
560,male,NA
561,male,NA
562,male,NA
563,male,NA
.,male,NA
564,male,NA
565,male,NA
566,male,NA
567,male,NA
568,male,NA
569,female,NA
570,female,NA
571,male,NA
572,male,NA
573,male,NA
574,male,NA
575,male,NA
576,male,NA
577,male,NA
578,male,NA
579,male,NA
.,male,NA
580,male,03
581,male,NA
582,male,NA
583,male,NA
584,male,NA
585,male,NA
586,male,NA
587,male,NA
588,male,NA
590,male,NA
591,male,NA
592,male,NA
593,male,NA
594,male,NA
595,male,NA
596,male,NA
597,male,NA
598,male,NA
599,male,NA
600,male,NA
601,male,NA
602,male,NA
603,male,NA
604,male,NA
605,male,NA
606,male,NA
607,male,NA
608,male,NA
609,male,NA
610,male,NA
611,male,NA
612,male,NA
613,male,NA
614,male,NA
615,male,NA
616,male,NA
617,male,NA
618,male,NA
619,male,NA
620,male,NA
621,male,NA
622,male,NA
623,male,NA
624,male,NA
625,male,NA
626,male,NA
627,male,NA
628,male,NA
629,male,NA
630,male,NA
631,male,NA
632,male,NA
633,male,NA
634,male,NA
635,male,NA
636,male,NA
637,male,NA
638,male,NA
639,female,NA
640,male,NA
641,male,NA
642,male,NA
643,male,NA
644,male,NA
645,male,NA
646,male,NA
647,male,NA
648,male,NA
649,male,NA
650,male,NA
651,male,NA
652,male,NA
653,male,NA
654,male,NA
655,male,NA
656,male,NA
657,male,NA
658,male,NA
.,male,NA
659,male,NA
660,male,NA
661,male,NA
662,male,NA
663,male,NA
664,male,NA
665,male,NA
666,male,NA
667,male,NA
668,male,NA
669,male,NA
670,male,NA
671,male,NA
672,male,NA
673,male,NA
674,male,NA
675,male,NA
676,male,NA
677,male,NA
678,male,NA
679,male,NA
680,male,NA
681,male,NA
682,female,NA
683,male,NA
684,male,NA
685,male,NA
686,male,NA
.,male,NA
687,male,NA
688,male,NA
689,male,NA
690,male,NA
691,male,NA
692,male,NA
693,male,NA
694,male,NA
695,male,NA
696,male,NA
697,male,NA
698,male,NA
699,male,NA
700,male,NA
701,male,NA
702,male,NA
703,male,NA
704,male,NA
705,male,NA
706,male,NA
708,male,NA
709,male,NA
.,male,NA
.,male,NA
710,male,NA
711,male,NA
712,male,NA
713,male,NA
714,male,NA
715,male,NA
716,male,NA
717,male,NA
718,male,NA
719,male,NA
720,male,NA
721,male,NA
722,male,NA
723,male,NA
724,male,NA
725,male,NA
726,male,NA
727,male,NA
728,male,NA
729,male,NA
730,male,NA
731,male,NA
732,male,NA
733,male,NA
734,male,NA
735,male,NA
736,male,NA
737,male,NA
738,male,NA
739,male,NA
740,male,NA
741,male,NA
742,male,NA
743,male,NA
744,male,NA
745,male,NA
746,male,NA
747,male,NA
748,male,NA
749,male,NA
750,male,NA
751,male,NA
752,male,NA
753,male,NA
754,female,NA
755,male,NA
757,male,NA
758,male,NA
759,male,NA
760,male,NA
761,male,NA
762,male,NA
763,male,NA
764,male,NA
765,male,NA
766,male,NA
767,male,NA
768,male,NA
769,male,NA
770,male,NA
771,female,NA
772,male,NA
773,male,NA
774,male,NA
775,female,NA
776,male,NA
777,female,NA
778,male,NA
779,male,NA
780,male,NA
781,male,NA
782,male,NA
783,male,NA
784,male,NA
785,male,NA
786,male,NA
787,male,NA
788,male,NA
789,male,NA
790,male,NA
791,male,NA
792,male,NA
793,male,NA
794,male,NA
795,male,NA
796,male,NA
797,male,NA
798,male,NA
799,male,NA
800,male,NA
801,male,NA
802,male,NA
803,male,03
804,male,NA
805,male,NA
806,male,NA
807,male,NA
808,male,NA
809,male,NA
810,male,NA
811,male,NA
812,male,NA
813,male,NA
814,male,NA
815,male,NA
816,male,NA
817,male,NA
818,male,NA
819,male,NA
820,female,NA
821,male,NA
822,male,NA
823,female,NA
824,female,NA
825,male,NA
826,female,NA
827,male,NA
828,female,NA
829,male,NA
830,male,NA
831,male,NA
832,male,NA
833,male,NA
834,male,NA
835,male,NA
836,male,NA
837,male,NA
838,male,NA
839,male,NA
840,male,NA
841,male,NA
842,female,NA
843,male,NA
844,female,NA
845,male,NA
846,female,NA
847,male,NA
848,male,NA
849,male,NA
850,female,NA
851,male,NA
852,male,NA
853,male,NA
854,male,NA
855,male,NA
856,male,NA
857,male,NA
858,male,05
859,female,NA
860,male,NA
861,male,NA
862,male,NA
863,male,NA
864,male,NA
865,male,NA
866,male,NA
867,male,NA
868,male,NA
869,female,NA
870,male,NA
871,female,NA
872,female,NA
873,female,NA
874,male,NA
875,male,NA
876,male,NA
877,male,NA
878,male,NA
879,male,NA
880,male,NA
881,female,NA
882,male,NA
883,female,NA
884,female,NA
885,male,NA
886,female,NA
887,male,NA
888,male,NA
889,male,NA
890,male,NA
891,male,NA
892,male,NA
893,male,NA
894,male,NA
895,male,NA
896,male,NA
897,male,NA
898,male,NA
899,male,NA
900,male,NA
901,male,NA
902,male,NA
903,male,NA
904,male,NA
905,male,NA
906,male,NA
907,male,NA
908,male,NA
909,male,NA
910,male,NA
911,male,NA
912,male,NA
913,male,NA
914,male,NA
915,male,NA
916,male,NA
917,male,NA
918,male,NA
919,male,NA
920,male,NA
921,male,NA
922,male,NA
923,male,NA
924,male,NA
925,male,NA
926,male,NA
927,male,NA
928,male,NA
929,male,NA
930,male,NA
931,male,NA
932,male,NA
933,female,NA
934,male,NA
935,male,NA
936,male,NA
937,male,NA
938,male,NA
939,male,NA
940,male,NA
941,male,NA
942,male,NA
943,male,NA
944,male,NA
945,male,NA
946,male,NA
947,male,NA
948,male,NA
949,male,NA
950,male,NA
952,male,NA
953,male,NA
954,male,NA
955,male,NA
956,male,NA
957,male,NA
958,male,NA
959,male,NA
960,male,NA
961,male,NA
962,male,NA
963,male,NA
964,female,NA
